[2018-05-09 09:23:46] [INFO] 启动谷歌浏览器
[2018-05-09 09:23:47] [INFO] 打开网页http://127.0.0.1/Discuz/forum.php
[2018-05-09 09:23:47] [INFO] 清空元素
[2018-05-09 09:23:47] [INFO] 输入的内容是：admin
[2018-05-09 09:23:47] [INFO] 清空元素
[2018-05-09 09:23:47] [INFO] 输入的内容是：password
[2018-05-09 09:23:47] [INFO] 点击操作
[2018-05-09 09:23:48] [INFO] 点击操作
[2018-05-09 09:23:48] [INFO] 登录成功
[2018-05-09 09:23:50] [INFO] 点击操作
[2018-05-09 09:23:51] [INFO] 清空元素
[2018-05-09 09:23:51] [INFO] 输入的内容是：password
[2018-05-09 09:24:47] [INFO] 点击操作
[2018-05-09 09:24:47] [INFO] 登录成功，进入管理模块
[2018-05-09 09:24:52] [INFO] 点击操作
[2018-05-09 09:24:52] [INFO] 进入论坛
[2018-05-09 09:24:53] [INFO] 点击操作
[2018-05-09 09:24:53] [INFO] 清空元素
[2018-05-09 09:24:53] [INFO] 输入的内容是：欢乐中国行
[2018-05-09 09:24:53] [INFO] 点击操作
[2018-05-09 09:24:53] [INFO] 添加新模块
